species,name_en,3alpha_code,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category
"angelsharks, sand devils nei","angelsharks, sand devils nei",ask,squatinidae,squatinidae,squatinidae,pisces,"sharks, rays, chimaeras","angelsharks, sand devils",yes,en_name
atlantic bluefin tuna,atlantic bluefin tuna,bft,thunnus thynnus,thunnus,scombridae,pisces,"tunas, bonitos, billfishes",NA,yes,en_name
atlantic bonito,atlantic bonito,bon,sarda sarda,sarda,scombridae,pisces,"tunas, bonitos, billfishes",NA,yes,en_name
barracudas nei,barracudas nei,bar,sphyraena spp,sphyraena,sphyraenidae,pisces,miscellaneous pelagic fishes,barracudas,yes,en_name
blue and red shrimp,blue and red shrimp,ara,aristeus antennatus,aristeus,aristaeidae,crustacea,"shrimps, prawns",NA,yes,en_name
blue whiting(=poutassou),blue whiting(=poutassou),whb,micromesistius poutassou,micromesistius,gadidae,pisces,"cods, hakes, haddocks",NA,yes,en_name
bluefish,bluefish,blu,pomatomus saltatrix,pomatomus,pomatomidae,pisces,miscellaneous pelagic fishes,NA,yes,en_name
bogue,bogue,bog,boops boops,boops,sparidae,pisces,miscellaneous coastal fishes,NA,yes,en_name
caramote prawn,caramote prawn,tgs,penaeus kerathurus,penaeus,penaeidae,crustacea,"shrimps, prawns",NA,yes,en_name
"catsharks, nursehounds nei","catsharks, nursehounds nei",scl,scyliorhinus spp,scyliorhinus,scyliorhinidae,pisces,"sharks, rays, chimaeras","catsharks, nursehounds",yes,en_name
common cuttlefish,common cuttlefish,ctc,sepia officinalis,sepia,sepiidae,mollusca,"squids, cuttlefishes, octopuses",NA,yes,en_name
common dentex,common dentex,dec,dentex dentex,dentex,sparidae,pisces,miscellaneous coastal fishes,NA,yes,en_name
common octopus,common octopus,occ,octopus vulgaris,octopus,octopodidae,mollusca,"squids, cuttlefishes, octopuses",NA,yes,en_name
common sole,common sole,sol,solea solea,solea,soleidae,pisces,"flounders, halibuts, soles",NA,yes,en_name
common spiny lobster,common spiny lobster,slo,palinurus elephas,palinurus,palinuridae,crustacea,"lobsters, spiny-rock lobsters",NA,yes,en_name
common squids nei,common squids nei,sqc,loligo spp,loligo,loliginidae,mollusca,"squids, cuttlefishes, octopuses",common squids,yes,en_name
"croakers, drums nei","croakers, drums nei",cdx,sciaenidae,sciaenidae,sciaenidae,pisces,miscellaneous coastal fishes,"croakers, drums",yes,en_name
deep-water rose shrimp,deep-water rose shrimp,dps,parapenaeus longirostris,parapenaeus,penaeidae,crustacea,"shrimps, prawns",NA,yes,en_name
dogfish sharks nei,dogfish sharks nei,dgx,squalidae,squalidae,squalidae,pisces,"sharks, rays, chimaeras",dogfish sharks,yes,en_name
european anchovy,european anchovy,ane,engraulis encrasicolus,engraulis,engraulidae,pisces,"herrings, sardines, anchovies",NA,yes,en_name
european conger,european conger,coe,conger conger,conger,congridae,pisces,miscellaneous demersal fishes,NA,yes,en_name
european eel,european eel,ele,anguilla anguilla,anguilla,anguillidae,pisces,river eels,NA,yes,en_name
european flounder,european flounder,fle,platichthys flesus,platichthys,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name
european hake,european hake,hke,merluccius merluccius,merluccius,merlucciidae,pisces,"cods, hakes, haddocks",NA,yes,en_name
european lobster,european lobster,lbe,homarus gammarus,homarus,nephropidae,crustacea,"lobsters, spiny-rock lobsters",NA,yes,en_name
european pilchard(=sardine),european pilchard(=sardine),pil,sardina pilchardus,sardina,clupeidae,pisces,"herrings, sardines, anchovies",NA,yes,en_name
