taxon_key,taxon_name,common_name,scientific_name,3alpha_code,name_en,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category
600242,oncorhynchus masou masou,cherry salmon,oncorhynchus masou,che,masu(=cherry) salmon,oncorhynchus,salmonidae,pisces,"salmons, trouts, smelts",NA,yes,sci_name_2words
600247,salvelinus alpinus alpinus,charr,salvelinus alpinus,ach,arctic char,salvelinus,salmonidae,pisces,"salmons, trouts, smelts",NA,yes,sci_name_2words
600253,osmerus mordax mordax,atlantic rainbow smelt,osmerus mordax,smr,rainbow smelt,osmerus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,sci_name_2words
600314,eleginus nawaga,navaga,eleginus navaga,cow,navaga(=wachna cod),eleginus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,sci_name_2words
600395,emmelichthys nitidus nitidus,redbait,emmelichthys nitidus,emm,cape bonnetmouth,emmelichthys,emmelichthyidae,pisces,miscellaneous demersal fishes,NA,yes,sci_name_2words
604796,sarda chiliensis lineolata,pacific bonito,sarda chiliensis,bep,eastern pacific bonito,sarda,scombridae,pisces,"tunas, bonitos, billfishes",NA,yes,sci_name_2words
606531,acanthopagrus schlegelii schlegelii,black porgy,acanthopagrus schlegeli,mlm,blackhead seabream,acanthopagrus,sparidae,pisces,miscellaneous coastal fishes,NA,yes,sci_name_2words
614693,merluccius gayi peruanus,peruvian hake,merluccius gayi,pha,south pacific hake,merluccius,merlucciidae,pisces,"cods, hakes, haddocks",NA,yes,sci_name_2words
400080,osmeridae,smelts,allosmerus elongatus,oae,whitebait smelt,allosmerus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,osmerus eperlanus,sme,european smelt,osmerus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,osmerus mordax,smr,rainbow smelt,osmerus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,hypomesus olidus,psm,pond smelt,hypomesus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,hypomesus pretiosus,sus,surf smelt,hypomesus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,hypomesus nipponensis,hvj,japanese smelt,hypomesus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,thaleichthys pacificus,eul,eulachon,thaleichthys,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,spirinchus thaleichthys,osy,longfin smelt,spirinchus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,family
400080,osmeridae,smelts,"osmerus spp, hypomesus spp",smx,smelts nei,osmerus,osmeridae,pisces,"salmons, trouts, smelts",smelts,yes,family
400183,gadidae,cods and haddocks,brosme brosme,usk,tusk(=cusk),brosme,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gadus morhua,cod,atlantic cod,gadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gadus macrocephalus,pco,pacific cod,gadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gadus ogac,grc,greenland cod,gadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gadus spp,cdz,northern cods nei,gadus,gadidae,pisces,"cods, hakes, haddocks",northern cods,yes,family
400183,gadidae,cods and haddocks,molva molva,lin,ling,molva,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,molva dypterygia,bli,blue ling,molva,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,molva macrophthalma,sli,spanish ling,molva,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,molva spp,lnz,lings nei,molva,gadidae,pisces,"cods, hakes, haddocks",lings,yes,family
400183,gadidae,cods and haddocks,phycis blennoides,gfb,greater forkbeard,phycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,phycis phycis,for,forkbeard,phycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,phycis chesteri,gpe,longfin hake,phycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,phycis spp,fox,forkbeards nei,phycis,gadidae,pisces,"cods, hakes, haddocks",forkbeards,yes,family
400183,gadidae,cods and haddocks,urophycis brasiliensis,hku,brazilian codling,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis chuss,hkr,red hake,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis tenuis,hkw,white hake,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis earllii,ure,carolina hake,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis floridana,urf,southern codling,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis regia,urg,spotted codling,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis cirrata,uri,gulf hake,urophycis,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,urophycis spp,urz,urophycis nei,urophycis,gadidae,pisces,"cods, hakes, haddocks",urophycis,yes,family
400183,gadidae,cods and haddocks,melanogrammus aeglefinus,had,haddock,melanogrammus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,raniceps raninus,rcr,tadpole fish,raniceps,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,eleginus navaga,cow,navaga(=wachna cod),eleginus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,eleginus gracilis,saf,saffron cod,eleginus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,microgadus proximus,mgx,pacific tomcod,microgadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,microgadus tomcod,tom,atlantic tomcod,microgadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,pollachius virens,pok,saithe(=pollock),pollachius,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,pollachius pollachius,pol,pollack,pollachius,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,theragra chalcogramma,alk,alaska pollock(=walleye poll.),theragra,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,theragra finnmarchica,tef,norwegian pollock,theragra,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,boreogadus saida,poc,polar cod,boreogadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,arctogadus glacialis,atg,artic cod,arctogadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,arctogadus borisovi,atv,east siberian cod,arctogadus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gadiculus argenteus,gdg,silvery pout,gadiculus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus ensis,gde,threadfin rockling,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus argentatus,gdt,arctic rockling,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus biscayensis,ggy,mediterranean bigeye rockling,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus macrophthalmus,ggr,bigeye rockling,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus mediterraneus,ggd,shore rockling,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus vulgaris,ggu,three-bearded rockling,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,gaidropsarus spp,rol,rocklings nei,gaidropsarus,gadidae,pisces,"cods, hakes, haddocks",rocklings,yes,family
400183,gadidae,cods and haddocks,ciliata mustela,lcm,fivebeard rockling,ciliata,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,ciliata septentrionalis,gcs,northern rockling,ciliata,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,ciliata spp,gcq,NA,ciliata,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,trisopterus esmarkii,nop,norway pout,trisopterus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,trisopterus minutus,pod,poor cod,trisopterus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,trisopterus luscus,bib,pouting(=bib),trisopterus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,trisopterus spp,xod,trisopterus nei,trisopterus,gadidae,pisces,"cods, hakes, haddocks",trisopterus,yes,family
400183,gadidae,cods and haddocks,micromesistius poutassou,whb,blue whiting(=poutassou),micromesistius,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,micromesistius australis,pos,southern blue whiting,micromesistius,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,merlangius merlangus,whg,whiting,merlangius,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400183,gadidae,cods and haddocks,enchelyopus cimbrius,enc,fourbeard rockling,enchelyopus,gadidae,pisces,"cods, hakes, haddocks",NA,yes,family
400308,malacanthidae,tilefishes,hoplolatilus chlupatyi,hly,chameleon sand tilefish,hoplolatilus,malacanthidae,pisces,miscellaneous coastal fishes,NA,yes,family
400308,malacanthidae,tilefishes,hoplolatilus starcki,hpk,stark's tilefish,hoplolatilus,malacanthidae,pisces,miscellaneous coastal fishes,NA,yes,family
400308,malacanthidae,tilefishes,malacanthus brevirostris,mbv,quakerfish,malacanthus,malacanthidae,pisces,miscellaneous coastal fishes,NA,yes,family
400308,malacanthidae,tilefishes,malacanthus plumieri,mwp,sand tilefish,malacanthus,malacanthidae,pisces,miscellaneous coastal fishes,NA,yes,family
400479,inermiidae,bonnetmouths,emmelichthyops atlanticus,iea,bonnetmouth,emmelichthyops,inermiidae,pisces,miscellaneous coastal fishes,NA,yes,family
400479,inermiidae,bonnetmouths,inermia vittata,iiv,boga,inermia,inermiidae,pisces,miscellaneous coastal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,gargariscus prionocephalus,ggi,NA,gargariscus,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,heminodus japonicus,hnj,NA,heminodus,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,peristedion cataphractum,pjc,african armoured searobin,peristedion,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,peristedion liorhynchus,ptq,armoured gurnard,peristedion,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,peristedion longispatha,pql,NA,peristedion,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,peristedion weberi,pwb,NA,peristedion,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,satyrichthys adeni,sry,NA,satyrichthys,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,satyrichthys investigatoris,ssv,NA,satyrichthys,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
400581,peristediidae,armored searobins or armored gurnards,satyrichthys welchi,swc,robust armoured-gurnard,satyrichthys,peristediidae,pisces,miscellaneous demersal fishes,NA,yes,family
490021,buccinidae,buccinidae,buccinum undatum,whe,whelk,buccinum,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,buccinum humphreysianum,bcp,humphrey's buccinum,buccinum,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,buccinum spp,bex,NA,buccinum,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,solenosteira gatesi,oox,gates' goblet,solenosteira,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,buccinulum corneum,bqo,striated buccinum,buccinulum,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,cantharus dorbignyi,kad,d'orbigny's buccinum,cantharus,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,cantharus undosus,kqu,waved goblet,cantharus,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,pisania striata,piz,striate pisania,pisania,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,babylonia areolata,yja,maculated ivory whelk,babylonia,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,babylonia lutosa,yju,mud ivory whelk,babylonia,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,babylonia spirata,yjs,spiral babylon,babylonia,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,babylonia spp,yjx,NA,babylonia,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,neobuccinum eatoni,nbt,antarctic whelk,neobuccinum,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,trophon albolabratus,fol,antarctic trophon,trophon,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,trophon spp,fpx,NA,trophon,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,pareuthria cerealis,wuw,NA,pareuthria,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,pareuthria spp,wux,NA,pareuthria,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,austrofusus chathamensis,dmw,NA,austrofusus,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,austrofusus glans,kwh,NA,austrofusus,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,austrofusus spp,dmx,NA,austrofusus,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
490021,buccinidae,buccinidae,aeneator recens,ajv,NA,aeneator,buccinidae,mollusca,"abalones, winkles, conchs",NA,yes,family
400327,haemulidae,grunts,haemulidae (=pomadasyidae),grx,"grunts, sweetlips nei",haemulidae,haemulidae,pisces,miscellaneous coastal fishes,"grunts, sweetlips",yes,genus
490011,sepiidae,cuttlefishes,"sepiidae, sepiolidae",ctl,"cuttlefish, bobtail squids nei",sepiidae,sepiidae,mollusca,"squids, cuttlefishes, octopuses","cuttlefish, bobtail squids",yes,genus
500048,paralichthys,american flounders,paralichthys olivaceus,bah,bastard halibut,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys brasiliensis,ysl,brazilian flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys californicus,ysf,california flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys woolmani,ysw,speckled flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys dentatus,fls,summer flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys oblongus,yso,fourspot flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys albigutta,ysb,gulf flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys lethostigma,ysh,southern flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys adspersus,rie,fine flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
500048,paralichthys,american flounders,paralichthys patagonicus,qpp,patagonian flounder,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,genus
