year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_catch_fishery,total_f_hours_length,total_f_hours_tonnage,total_f_hours_kw,total_f_hours,total_hours,total_days,n_vessel
2017,AGO,47,drifting_longlines,15104.256653734808,14907.9,NA,NA,NA,NA,NA,NA,NA
2017,AGO,47,pole_and_line,274.7816876461687,248.95,NA,NA,NA,NA,NA,NA,NA
2017,AGO,47,pots_and_traps,1562.590292167055,1303.2,NA,NA,NA,NA,NA,NA,NA
2017,AGO,47,seiners,261550.36010181624,249234.55000000005,11824.448133745418,71631.92690521773,230577.26684978927,420.95472222222213,5320.803333333335,116,2
2017,AGO,47,trawlers,80005.43504930587,53162.39,1875915.4562845153,19749165.56946273,30444489.242775522,50570.50555555557,79916.16194444445,2385,15
2017,ALB,37,seiners,59.81023255813953,57,16640.262921913934,42401.48737571649,207111.12999914514,797.0075000000002,5954.879999999999,115,1
2017,ARG,41,pole_and_line,93143.09427277288,84294.5,NA,NA,NA,NA,NA,NA,NA
2017,ARG,41,pots_and_traps,2851.282894849127,2377.9700000000003,NA,NA,NA,NA,NA,NA,NA
2017,ARG,41,set_longlines,2091.3398423401177,1591.51,142689.9413387921,2017446.246166073,2129406.8911339864,3065.1763888888886,9916.904444444448,217,2
2017,ARG,41,trawlers,1214110.3956348267,687464.36,21821083.993856564,309365808.28074443,462380119.44796693,476039.14833333343,907480.6427777779,27983,223
2017,AUS,57,drifting_longlines,153.73675781128074,142.36,161006.10919132223,1345656.153468818,2588064.889577838,5793.296111111113,16940.27416666667,407,6
2017,AUS,57,driftnets,18474.563505646507,16313.04,NA,NA,NA,NA,NA,NA,NA
2017,AUS,57,pole_and_line,9015.657558125122,8159.17,170926.56429743706,898881.8297616296,2326819.817525891,6948.669444444446,14552.60638888889,595,7
2017,AUS,57,pots_and_traps,30735.89964780987,25633.739999999998,3073.3760210805326,10821.49734192474,16522.668261038336,156.2769444444444,869.2083333333334,44,1
2017,AUS,58,set_longlines,3418.7642673905607,2601.68,60566.774416666674,1694483.931666667,3327486.071111112,894.5858333333335,1612.616666666667,56,2
2017,AUS,58,trawlers,2657.741812426218,1836.4999999999998,NA,NA,NA,NA,NA,NA,NA
2017,AUS,71,drifting_longlines,3036.7317976184386,2945.63,387936.6160407288,2157007.6874865163,5971731.084096275,17976.029444444448,52155.85916666668,1155,14
2017,AUS,71,pole_and_line,5869.945450036657,5369.7,9935.52820353746,67932.20070892171,430865.86361282674,430.95916666666665,1941.833888888889,56,5
2017,AUS,71,trawlers,95720.73865096821,24700.62,1266645.0395993537,6855124.781109079,11577719.578212237,49014.58861111112,110075.40250000003,3169,46
2017,AUS,81,pots_and_traps,728.2509473492942,614.35,NA,NA,NA,NA,NA,NA,NA
2017,AUS,81,trawlers,11940.732460189854,7495.07,10460.413867611785,33487.550532576235,145201.0142260289,556.2175000000001,1490.0627777777781,68,5
2017,BEL,27,dredge_fishing,485.63784217422125,418.62,134207.79111710534,1054161.371795259,3468424.235672027,4976.551388888889,9714.446388888888,410,3
2017,BEL,27,seiners,2984.939504520724,1370.28,89128.74587777775,830390.8066666664,2971913.6033333326,2634.5122222222217,9989.192499999997,248,2
2017,BEL,27,set_gillnets,6.766002098635887,5,22269.13451111111,70779.50722222224,232410.32222222225,1056.4105555555557,1612.3066666666673,185,1
2017,BEL,27,trawlers,44509.964244719755,22427.100000000002,3363244.1978201307,23438517.264976073,69675622.20192073,115004.60111111111,251966.03638888893,8572,63
2017,BEN,34,trawlers,129.26773198100986,58.29999999999998,NA,NA,NA,NA,NA,NA,NA
2017,BGD,57,other_fishing,12243.714125855538,11472.359999999999,NA,NA,NA,NA,NA,NA,NA
2017,BGD,57,set_longlines,14259.445098596936,13361.1,NA,NA,NA,NA,NA,NA,NA
2017,BGD,57,trawlers,55284.32201245772,51801.41,NA,NA,NA,NA,NA,NA,NA
2017,BGR,37,trawlers,4106.4504007401365,3609.57,293122.8169399647,890700.5737970828,3182961.2172338543,13782.199166666667,41735.89138888889,1918,26
2017,BHR,51,trawlers,12094.67880685299,5454.7,14895.228728083039,24711.185461464804,169958.62296672026,967.8002777777779,4328.157500000001,130,3
2017,BLZ,31,drifting_longlines,1317.1226156069365,1300,NA,NA,NA,NA,NA,NA,NA
2017,BLZ,34,seiners,88842.21304555943,86710,358484.13645268744,9404231.822394198,11870194.963123564,5260.768888888891,24428.94,515,7
2017,BLZ,41,drifting_longlines,242.14782713849286,239,34188.72416451134,360496.38231832214,471028.42456668016,808.757222222222,1550.6636111111109,64,1
2017,BRA,41,drifting_longlines,30887.59665098709,30375.46,727337.7617087458,3258259.4777326602,11399857.425393676,32230.704999999998,63138.483333333344,2120,27
2017,BRA,41,driftnets,2582.556722400962,2321.83,NA,NA,NA,NA,NA,NA,NA
2017,BRA,41,pole_and_line,42472.50650317097,38460.75,12607.891331036579,39981.82549199522,153768.86778242554,499.34250000000003,2079.0969444444445,48,1
2017,BRA,41,pots_and_traps,652.3373311612877,544.05,NA,NA,NA,NA,NA,NA,NA
2017,BRA,41,seiners,84446.23710993031,53949.06,41547.90865050144,126548.20732805831,475295.3330308176,1707.4739999452781,6515.303899542501,213,2
2017,BRA,41,set_gillnets,29781.962029335675,22008.870000000003,32837.37143863812,120673.91110542668,431173.53851630277,1626.3780555555556,2588.0530555555556,113,2
2017,BRA,41,set_longlines,5996.135905587408,4563.0599999999995,NA,NA,NA,NA,NA,NA,NA
2017,BRA,41,trawlers,100351.21896512284,61567.82,1155692.2065456223,5062203.989903811,17731674.670846995,54053.14305555556,80322.18666666668,3485,42
2017,BRB,31,drifting_longlines,752.7857862083997,697.0799999999999,NA,NA,NA,NA,NA,NA,NA
2017,BRB,31,pole_and_line,39.44785354650649,35.699999999999996,NA,NA,NA,NA,NA,NA,NA
2017,BRN,71,seiners,380.26233111702123,362.39,NA,NA,NA,NA,NA,NA,NA
2017,BRN,71,set_gillnets,99.06769780585105,81.83,NA,NA,NA,NA,NA,NA,NA
2017,BRN,71,trawlers,1015.0507057845746,701.4,NA,NA,NA,NA,NA,NA,NA
2017,CAN,21,dredge_fishing,113558.00903750112,95994.37,16559.9813694586,48876.90962622488,210404.25819521814,999.1394444444443,2758.1055555555563,104,2
2017,CAN,21,drifting_longlines,484.0499090243948,448.22999999999996,614226.9489066893,2997461.764051862,8538404.012861356,28063.60361111111,100639.4702777778,2117,54
2017,CAN,21,driftnets,31473.0239762734,27790.68,NA,NA,NA,NA,NA,NA,NA
2017,CAN,21,pole_and_line,4004.4009698629247,3871.48,11727.620916768163,36528.69419716536,156009.1496493476,587.4413888888889,1505.0152777777778,44,2
2017,CAN,21,pots_and_traps,250958.49831455166,202679.59,254162.75576498258,1211285.4978906144,2879975.7766721956,10289.673333333334,32571.838611111114,917,32
2017,CAN,21,seiners,104754.94322712079,88432.84,50478.7547476995,253620.52344634567,761057.1868797861,2083.5686111111113,51491.37416666669,413,17
