Gear,tau,unit_median,unit_05,unit_95,diss_median,diss_05,diss_95
Trawlers,0.5,0.451,0.182,0.922,4.24e+05,3.62e+05,4.97e+05
Trawlers,0.7,1.17,0.278,3.02,1.19e+06,1.01e+06,1.44e+06
Trawlers,0.9,5.56,0.566,24.5,6.93e+06,5.32e+06,9.77e+06
Seiners,0.5,2.94,0.223,35.5,2.2e+06,1.23e+06,4.53e+06
Seiners,0.7,10.2,0.907,78.8,6.59e+06,3.59e+06,1.44e+07
Seiners,0.9,53,4.4,594,3.91e+07,2.14e+07,8.71e+07
Longlines,0.5,7.02,2.32,27.1,4.67e+05,3.51e+05,6.78e+05
Longlines,0.7,12.7,4.28,45.3,8.13e+05,5.98e+05,1.21e+06
Longlines,0.9,38.5,15.3,105,2.19e+06,1.66e+06,3.07e+06
Set Gillnets,,14.9,0.502,166,3.15e+06,8.86e+05,1.56e+07
Drifting FADs,,1.42,0.65,2.29,2.03e+06,1.5e+06,2.64e+06
