Gear,tau,unit_median,unit_05,unit_95,oper_median,oper_05,oper_95,diss_median,diss_05,diss_95
Trawlers,0.5,0.451,0.181,0.919,1.28e+07,1.11e+07,1.47e+07,4.23e+05,3.63e+05,4.99e+05
Trawlers,0.7,1.17,0.279,3.01,3.49e+07,3.06e+07,4.33e+07,1.18e+06,1e+06,1.43e+06
Trawlers,0.9,5.55,0.564,24.5,2.1e+08,1.65e+08,2.85e+08,7.02e+06,5.26e+06,9.87e+06
Seiners,0.5,2.94,0.223,35.6,9.47e+07,6.33e+07,1.53e+08,2.12e+06,1.19e+06,4.41e+06
Seiners,0.7,10.2,0.909,79,2.97e+08,2.02e+08,4.37e+08,6.47e+06,3.62e+06,1.43e+07
Seiners,0.9,52.8,4.44,596,1.83e+09,1.22e+09,2.57e+09,3.92e+07,2.15e+07,8.65e+07
Longlines,0.5,7,2.32,27.1,1.15e+07,9.16e+06,1.71e+07,4.72e+05,3.44e+05,6.8e+05
Longlines,0.7,12.7,4.26,45.2,1.98e+07,1.56e+07,2.63e+07,8.11e+05,5.96e+05,1.2e+06
Longlines,0.9,38.5,15.3,104,5.33e+07,4.18e+07,7.13e+07,2.18e+06,1.64e+06,3.14e+06
Set Gillnets,,14.7,0.503,166,6.01e+07,2.97e+07,2.53e+08,3.08e+06,8.77e+05,1.51e+07
Drifting FADs,,1.42,0.651,2.29,3.94e+06,3.45e+06,4.58e+06,2.02e+06,1.5e+06,2.62e+06
