"","Family","GearTypes","InputUnit","Param","OutputUnit","Scale","Order","DistType","DistValue"
"0","Deshpande 2020","net","yr","--","lost","linear","0","Uniform","0.007--0.013"
"1","Deshpande 2020","trawl","yr","--","lost","linear","0","Uniform","0.019--0.043"
"2","Deshpande 2020","SDN","yr","--","lost","linear","0","Uniform","0.011--0.025"
"3","Deshpande 2020","PS","yr","--","lost","linear","0","Uniform","0.001--0.01"
"4","Deshpande 2020","longline","yr","--","lost","linear","0","Uniform","0.035--0.053"
"5","Gilman 2021-mod","Pair trawls, bottom; Otter trawls, bottom","yr","--","loss-fragments","linear","0","Triangular","0.019--0.035--0.053"
"6","Gilman 2021-mod","Longlines - pelagic","yr","--","lost","linear","0","Triangular","0.0001--0.024--0.089"
"7","Gilman 2021-mod","Purse Seine Drifting FADs","yr","--","lost-FADs","linear","0","Triangular","0.067--0.213--0.395"
"8","Gilman 2021-mod","Purse seine Non-tuna; Purse seine","yr","--","loss-fragments","linear","0","Triangular","0.0007--0.014--0.046"
"9","Gilman 2021-mod","Boat seines","yr","--","loss-fragments","linear","0","Triangular","0.003--0.051--0.168"
"10","Gilman 2021-mod","Bottom gillnet; Surface & Bottom Set Gillnet; Trammel nets","yr","--","lost","linear","0","Triangular","0.073--0.084--0.095"
"11","Gilman 2021-mod","Purse Seine Anchored FADs","yr","--","lost-FADs","linear","0","Uniform","0.76--0.81"
"12","Seiners 2020","Purse seine Tuna; Purse seine","yr","--","loss-fragments","linear","0","Triangular","0--0.005--0.015"
