"","Family","GearTypes","InputUnit","Param","OutputUnit","Scale","Order","DistType","DistValue"
"0","FADs","Purse Seine Drifting FADs","n FAD","--","kg gear","linear","0","Uniform","20--80"
"1","Longlines 2020","drifting_longlines","m LOA","--","kg gear","linear","0","Triangular","20.1--33.8--61.7"
"2","Sala 2019","trawl","m LOA","""Cluster 1""","kg gear","linear","0","Triangular","11.5--18.2--21.6"
"3","Sala 2019","trawl","m LOA","""Cluster 2""","kg gear","linear","0","Triangular","6.15--8.81--10.6"
"4","Sala 2019","trawl","m LOA","""Cluster 3""","kg gear","linear","0","Triangular","5.52--16.1--24.3"
"5","Sala 2019","trawl","m LOA","""Cluster 4""","kg gear","linear","0","Triangular","25.4--29.1--30.6"
"6","Seiners 2020","seiners","GT","""norway offshore lo""","kg gear","linear","0","Triangular","1.6--3.2--5.6"
"7","Seiners 2020","seiners","GT","""norway offshore hi""","kg gear","linear","0","Triangular","2.25--4.5--7.88"
"8","Seiners 2020","seiners","GT","""norway inshore lo""","kg gear","linear","0","Triangular","8.4--16.8--29.4"
"9","Seiners 2020","seiners","GT","""norway inshore hi""","kg gear","linear","0","Triangular","16--32--56"
"10","Seiners 2020","seiners","GT","""spain lo""","kg gear","linear","0","Triangular","11.7--23.4--40.9"
"11","Seiners 2020","seiners","GT","""spain hi""","kg gear","linear","0","Triangular","27.7--55.4--96.9"
"12","Seiners 2020","seiners","GT","""portugal lo""","kg gear","linear","0","Triangular","10.1--20.2--35.3"
"13","Seiners 2020","seiners","GT","""indonesia lo""","kg gear","linear","0","Triangular","12.4--24.8--43.4"
"14","Seiners 2020","seiners","GT","""indonesia mid""","kg gear","linear","0","Triangular","19.7--39.4--69"
"15","Seiners 2020","seiners","GT","""indonesia hi""","kg gear","linear","0","Triangular","33.9--67.8--119"
"16","Set-nets 2020","GNS; GNB","m2 net","--","kg gear","linear","0","Triangular","0.035--0.065--0.109"
