year,iso3_code,fao_area_code,fisheries_sector,GFWCategory,tuna_catch
2017,ALB,37,industrial,seiners,57
2017,BLZ,34,industrial,seiners,17632
2017,BRA,41,industrial,seiners,0.47000000000000003
2017,CHL,87,industrial,seiners,0.48
2017,CHN,34,industrial,seiners,93.60000000000001
2017,CHN,61,industrial,seiners,30
2017,CHN,71,industrial,seiners,18204.02
2017,CHN,81,industrial,seiners,3442.5
2017,CIV,34,industrial,seiners,3074.44
2017,COL,31,industrial,seiners,24
2017,COL,77,industrial,seiners,16395
2017,COL,87,industrial,seiners,21860
2017,CPV,34,industrial,seiners,11767
2017,CUW,34,industrial,seiners,30288
2017,DZA,37,industrial,seiners,1039
2017,ECU,71,industrial,seiners,13571
2017,ECU,77,industrial,seiners,96875.8
2017,ECU,87,industrial,seiners,841.7699999999999
2017,EGY,37,industrial,seiners,124
2017,ESP,34,industrial,seiners,60424.280000000006
2017,ESP,37,industrial,seiners,1620.48
2017,ESP,47,industrial,seiners,2545
2017,ESP,71,industrial,seiners,11539.56
2017,ESP,77,industrial,seiners,16274
2017,ESP,87,industrial,seiners,2286.83
2017,FRA,34,industrial,seiners,44895.68
2017,FRA,37,industrial,seiners,3225.68
2017,FRA,51,industrial,seiners,64760.29
2017,FRA,57,industrial,seiners,1419
2017,FSM,71,industrial,seiners,82511.7
2017,GBR,51,industrial,seiners,26
2017,GHA,34,industrial,seiners,63343.40000000001
2017,GIN,34,industrial,seiners,9530
2017,GTM,34,industrial,seiners,15225
2017,HRV,37,industrial,seiners,623.0799999999999
2017,IDN,57,industrial,seiners,44764.40000000001
2017,IDN,71,industrial,seiners,213799.62
2017,IRN,51,industrial,seiners,1307.5
2017,ITA,37,industrial,seiners,2556.8
2017,JPN,51,industrial,seiners,3012.79
2017,JPN,57,industrial,seiners,2645.93
2017,JPN,61,industrial,seiners,52042.5
2017,JPN,71,industrial,seiners,125382
2017,KIR,71,industrial,seiners,155884.84
2017,KOR,51,industrial,seiners,11887.92
2017,KOR,71,industrial,seiners,220062.96
2017,KOR,87,industrial,seiners,321
2017,LBY,37,industrial,seiners,897.0499999999998
2017,MAR,34,industrial,seiners,423.2200000000001
2017,MAR,37,industrial,seiners,254.39999999999998
